,country,requester_type,product,indication,question,channel,date_time_open,date_time_closed,answer_solution,response_time_hours,question_token_count,answer_token_count
0,UK,HCP,Keytruda,NSCLC,What are the common side effects of Keytruda?,email,2023-06-27 17:00:00,2023-07-21 18:00:00,"Common side effects include fatigue, nausea, and skin rash.",577.0,9,12
1,US,Researcher,Keytruda,NSCLC,Can Keytruda cause immune-related adverse effects?,email,2023-06-08 08:00:00,2023-07-06 12:30:00,"Yes, Keytruda can cause immune-related adverse effects such as colitis, hepatitis, and pneumonitis.",676.5,7,17
2,UK,HCP,Keytruda,NSCLC,Is Keytruda safe for pregnant women?,call,2023-03-06 04:00:00,2023-04-19 15:00:00,Keytruda is not recommended for use during pregnancy due to potential risks to the fetus.,1067.0,7,16
3,UK,Researcher,Keytruda,NSCLC,What should patients report immediately while on Keytruda treatment?,email,2023-02-05 10:30:00,2023-03-05 06:00:00,"Patients should report any new or worsening symptoms such as cough, chest pain, or changes in vision immediately.",667.5,10,21
4,US,Researcher,Keytruda,NSCLC,Are there any known interactions between Keytruda and other medications?,call,2023-03-14 09:30:00,2023-04-16 18:30:00,"Yes, Keytruda can interact with steroids and certain immunosuppressants, potentially affecting its efficacy and safety.",801.0,11,18
5,US,Pharmacist,Keytruda,NSCLC,How effective is Keytruda in treating non-small cell lung cancer?,email,2023-06-09 11:00:00,2023-07-16 09:30:00,Keytruda has shown to improve survival rates significantly in non-small cell lung cancer patients with PD-L1 expression.,886.5,11,18
6,UK,Researcher,Keytruda,NSCLC,What is the response rate of melanoma patients treated with Keytruda?,email,2023-03-10 21:00:00,2023-04-03 05:00:00,Approximately 40% of melanoma patients respond positively to Keytruda treatment.,560.0,12,12
7,Canada,Pharmacist,Keytruda,NSCLC,Does Keytruda work for all types of cancer?,email,2023-05-17 06:00:00,2023-05-27 02:30:00,Keytruda is most effective in cancers that express PD-L1 and in a genetic background favorable to immune therapy.,236.5,9,19
8,UK,HCP,Keytruda,NSCLC,How long does it take to see the effects of Keytruda in treating cancer?,call,2023-03-31 01:00:00,2023-04-17 08:30:00,Some patients may see effects as early as 2 to 3 months into the treatment.,415.5,15,16
9,UK,HCP,Keytruda,NSCLC,What is the five-year survival rate for patients using Keytruda for lung cancer?,call,2023-05-05 04:00:00,2023-06-01 17:30:00,No detailed information aviable on the given topic.,661.5,14,9
10,UK,HCP,Keytruda,NSCLC,What was the objective response rate in the KEYNOTE-006 trial?,call,2023-05-06 02:00:00,2023-05-30 14:30:00,The provided response do not offer detailed information on the given topic.,588.5,11,13
11,UK,HCP,Keytruda,NSCLC,Are there any specific monitoring protocols for NSCLC patients on Keytruda as suggested by KEYNOTE-006 outcomes?,call,2023-04-28 07:30:00,2023-05-20 00:00:00,"Regular monitoring of liver function, lung function, and immune markers is recommended to manage potential side effects effectively.",520.5,17,21
12,US,Pharmacist,Keytruda,NSCLC,What was the impact of Keytruda on metastatic NSCLC in the KEYNOTE-051 trial?,email,2023-05-26 08:00:00,2023-07-02 10:30:00,Keytruda significantly reduced the progression of metastatic disease and improved survival rates in metastatic NSCLC patients.,890.5,14,17
13,UK,HCP,Keytruda,NSCLC,Did the KEYNOTE-10086 trial meet its primary endpoints?,email,2023-03-03 20:00:00,2023-03-12 12:00:00,No detailed information aviable on the given topic.,208.0,9,9
14,Canada,Researcher,Keytruda,NSCLC,What were the side effects noted in the KEYNOTE-006 trial?,email,2023-04-14 01:00:00,2023-05-18 04:30:00,"Common side effects included fatigue, itching, and diarrhea.",819.5,11,11
15,US,Researcher,Keytruda,NSCLC,What is the recommended dosage of Keytruda for melanoma?,call,2023-01-03 09:00:00,2023-01-28 00:00:00,The recommended dosage is 200 mg every three weeks for adults.,591.0,10,12
16,Canada,Researcher,Keytruda,NSCLC,How do the results of KEYNOTE-006 influence the future research directions for NSCLC treatment?,call,2023-05-25 23:30:00,2023-06-15 10:00:00,"The results encourage further research into immunotherapy combinations, personalized medicine based on genetic markers, and strategies to overcome resistance to PD-1 inhibitors",490.5,15,24
17,Canada,Pharmacist,Keytruda,NSCLC,How is Keytruda administered?,call,2023-03-21 16:30:00,2023-04-22 15:00:00,Keytruda is administered as an intravenous infusion over 30 minutes.,766.5,5,11
18,Canada,HCP,Keytruda,NSCLC,Can Keytruda be used in combination with other therapies?,call,2023-03-30 06:30:00,2023-05-11 02:30:00,"Yes, Keytruda can be used in combination with chemotherapy and other immunotherapies depending on the cancer type.",1004.0,10,19
19,Canada,HCP,Keytruda,NSCLC,What are the guidelines for Keytruda in treating Hodgkin's lymphoma?,email,2023-05-23 00:00:00,2023-06-06 18:00:00,Keytruda is recommended for relapsed or refractory classical Hodgkin lymphoma after two or more lines of therapy.,354.0,12,18
20,US,HCP,Keytruda,NSCLC,Are there patient support programs available for Keytruda users?,email,2023-03-05 21:30:00,2023-04-04 04:30:00,"Yes, there are several patient support programs that provide financial assistance and counseling services.",703.0,10,16
21,US,Pharmacist,Keytruda,NSCLC,How is awareness being raised for Keytruda as a treatment option?,call,2023-05-11 08:00:00,2023-06-04 13:00:00,"Awareness is being raised through patient advocacy groups, clinical trial publications, and healthcare provider education programs.",581.0,12,19
23,Canada,Researcher,Keytruda,NSCLC,Is there a community support group for patients undergoing treatment with Keytruda?,call,2023-05-16 11:30:00,2023-06-10 14:00:00,"Yes, several online and local support groups are available for sharing experiences and advice.",602.5,13,16
24,US,HCP,Keytruda,NSCLC,How do healthcare providers educate patients about the benefits and risks of Keytruda?,call,2023-05-16 17:30:00,2023-06-01 04:30:00,"Healthcare providers offer educational materials, detailed consultations, and regular follow-up to discuss treatment progress and side effects.",371.0,14,20
25,US,Pharmacist,Keytruda,NSCLC,How does Keytruda improve survival rates in NSCLC patients compared to traditional treatments?,email,2023-01-22 06:30:00,2023-03-04 05:00:00,Keytruda has been shown to improve the overall survival rates by reducing the risk of death by about 40% compared to traditional chemotherapy in patients with high PD-L1 expression.,982.5,14,31
26,Canada,Pharmacist,Keytruda,NSCLC,Can Keytruda cause changes in blood pressure?,call,2023-04-02 15:00:00,2023-04-11 12:30:00,"Yes, fluctuations in blood pressure can occur, and patients should monitor their blood pressure regularly.",213.5,8,18
27,US,HCP,Keytruda,NSCLC,Are there specific side effects of Keytruda that NSCLC patients should monitor?,call,2023-06-05 10:30:00,2023-07-17 08:00:00,"NSCLC patients should monitor for cough, shortness of breath, and chest pain, as these could indicate immune-related pneumonitis.",1005.5,13,22
28,Canada,HCP,Keytruda,NSCLC,How does Keytruda's effectiveness in NSCLC compare between smokers and non-smokers in KEYNOTE-051?,call,2023-05-26 22:30:00,2023-07-07 07:00:00,"The effectiveness was slightly higher in non-smokers, although significant benefits were still observed in smokers.",992.5,15,17
29,UK,Pharmacist,Keytruda,NSCLC,What genetic markers were studied in NSCLC patients during the KEYNOTE-006 trial?,call,2023-04-30 03:00:00,2023-06-09 22:30:00,PD-L1 expression and tumor mutational burden were key genetic markers studied to assess the response to Keytruda,979.5,13,17
30,UK,Researcher,Keytruda,NSCLC,What was the impact of Keytruda on quality of life for NSCLC patients in KEYNOTE-123?,call,2023-04-03 08:30:00,2023-04-25 10:00:00,Keytruda improved the quality of life by reducing symptoms related to NSCLC and decreasing the side effects typically associated with chemotherapy.,529.5,16,22
31,US,HCP,Keytruda,NSCLC,Were there any notable differences in efficacy between Keytruda and chemotherapy in NSCLC patients in the KEYNOTE-456 trial?,call,2023-05-03 00:00:00,2023-05-30 23:00:00,"Yes, Keytruda demonstrated superior efficacy in terms of overall survival and progression-free survival compared to chemotherapy in NSCLC patients.",671.0,19,21
32,UK,Pharmacist,Keytruda,NSCLC,What genetic markers are tested before starting Keytruda in NSCLC patients?,email,2023-01-23 17:30:00,2023-03-05 08:30:00,"PD-L1 expression is the primary marker tested; however, genetic testing may also include EGFR mutations and ALK rearrangements to determine the best treatment approach.",975.0,12,27
33,Canada,Pharmacist,Keytruda,NSCLC,Is there a difference in treatment outcome with Keytruda between smokers and non-smokers with NSCLC?,call,2023-06-27 22:00:00,2023-07-09 21:00:00,"Studies have shown that smoking status does not significantly affect the efficacy of Keytruda, although individual responses can vary.",287.0,16,21
34,UK,HCP,Keytruda,NSCLC,What are the recommended dosing guidelines for Keytruda in NSCLC treatment according to KEYNOTE-123 findings?,email,2023-02-14 05:00:00,2023-03-19 01:00:00,The recommended dosing is 200 mg every three weeks for a duration determined by the patient's response and tolerance to the treatment,788.0,16,23
35,Canada,Pharmacist,Keytruda,NSCLC,Can NSCLC patients with brain metastases be treated with Keytruda?,call,2023-01-26 04:30:00,2023-02-16 21:00:00,"Keytruda can be used in NSCLC patients with brain metastases, especially when systemic disease control is needed, but close monitoring for neurological symptoms is essential.",520.5,11,28
36,Canada,Researcher,Keytruda,NSCLC,What was the primary outcome of the KEYNOTE-123 trial for NSCLC patients?,call,2023-04-03 13:30:00,2023-05-01 18:30:00,The primary outcome was an improvement in overall survival and progression-free survival compared to traditional chemotherapy.,677.0,13,17
37,UK,HCP,Keytruda,NSCLC,How did Keytruda perform in NSCLC patients with high PD-L1 expression in the KEYNOTE-051 trial?,call,2023-03-24 21:00:00,2023-04-29 12:00:00,Keytruda showed significantly improved response rates and survival outcomes in NSCLC patients with high PD-L1 expression in the KEYNOTE-456 trial.,855.0,16,21
38,Canada,Researcher,Keytruda,NSCLC,What are the options if an NSCLC patient does not respond to Keytruda?,call,2023-03-03 08:00:00,2023-03-21 08:30:00,"For non-responders, options may include switching to different immunotherapy drugs, combination therapies with chemotherapy, or targeted therapies based on genetic mutations.",432.5,14,25
39,UK,Researcher,Keytruda,NSCLC,How does Keytruda work in combination with other therapies for NSCLC?,call,2023-01-24 16:30:00,2023-03-06 19:30:00," Keytruda works synergistically with chemotherapy and other immunotherapies to enhance the immune response against cancer cells, often leading to improved outcomes.",987.0,12,23
40,UK,Researcher,Keytruda,NSCLC,What are the financial support options for NSCLC patients needing Keytruda treatment?,call,2023-01-21 14:30:00,2023-02-14 15:30:00,"Financial support options include manufacturer assistance programs, insurance coverage support, and non-profit grants that help with the cost of treatment.",577.0,13,23
41,US,Pharmacist,Keytruda,NSCLC,Can Keytruda cause fatigue in NSCLC patients?,email,2023-01-09 23:30:00,2023-02-02 06:00:00,No detailed information aviable on the given topic.,558.5,8,9
42,UK,Pharmacist,Keytruda,NSCLC,What advancements are being researched for Keytruda in NSCLC treatment?,email,2023-03-21 13:00:00,2023-04-18 14:30:00,"Ongoing research includes optimizing combination therapies, exploring lower doses, and extending its use to earlier stages of NSCLC.",673.5,11,21
43,US,HCP,Keytruda,NSCLC,How does Keytruda affect immune system function in NSCLC patients?,email,2023-05-17 10:00:00,2023-06-15 21:30:00,Keytruda enhances the immune system's ability to detect and destroy cancer cells but can also lead to immune-related adverse effects that need to be managed.,707.5,11,27
44,UK,HCP,Keytruda,NSCLC,What are the criteria for discontinuing Keytruda in NSCLC patients?,call,2023-03-18 04:00:00,2023-04-16 10:00:00,"Keytruda may be discontinued if there is significant disease progression, unacceptable toxicity, or upon patient decision in consultation with their healthcare provider.",702.0,11,25
45,UK,Pharmacist,Keytruda,NSCLC,How did Keytruda compare to targeted therapies in NSCLC patients with specific genetic alterations in KEYNOTE-006?,email,2023-06-14 05:00:00,2023-07-18 16:30:00,Keytruda showed comparable efficacy to targeted therapies in patients without specific actionable genetic alterations.,827.5,17,15
46,US,Researcher,Keytruda,NSCLC,What are the signs of a positive response to Keytruda in NSCLC?,email,2023-02-20 17:30:00,2023-03-03 05:00:00,"Signs include a decrease in tumor size on imaging, improvement in respiratory symptoms, and increased overall physical activity and well-being.",251.5,13,23
47,US,HCP,Keytruda,NSCLC,Can Keytruda be used in NSCLC patients with autoimmune diseases?,call,2023-05-07 18:00:00,2023-05-14 20:00:00,Keytruda should be used with caution in patients with pre-existing autoimmune diseases due to the risk of exacerbating the condition.,170.0,11,21
48,UK,Pharmacist,Keytruda,NSCLC,What are the survival rates for NSCLC patients treated with Keytruda compared to those treated with traditional chemotherapy?,email,2023-02-09 20:30:00,2023-03-25 05:30:00,"Survival rates are generally higher for patients treated with Keytruda, especially those with high PD-L1 expression, compared to traditional chemotherapy.",1041.0,19,23
49,Canada,Pharmacist,Keytruda,NSCLC,What percentage of NSCLC patients experienced complete remission with Keytruda treatment in KEYNOTE-789?,call,2023-01-06 21:30:00,2023-02-15 07:00:00,The provided information do not offer detailed information on the topic or questions self.,945.5,14,15
